tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,
2022-06-19 04:10:34,62a9c8eccc3d5f0001521439,ETH-USDT,buy,890,0.0034,3.026,0.003026,maker,USDT,limit,
2022-06-19 04:07:46,62a9c7b1f6358b00017ca541,LINK-USDT,buy,5.5,0.7,3.85,0.00385,maker,USDT,limit,
2022-06-19 03:02:00,62ae2128d9a66b0001ce6eea,BNB-USDT,buy,191.426,0.001,0.191426,0.000191426,taker,USDT,limit,
2022-06-19 03:01:31,62ae21077f527f00012deb72,AVA-USDT,buy,0.462393,0.25,0.11559825,0.00011559825,maker,USDT,limit,
2022-06-19 03:01:05,62ae20f1986ce90001730178,SXP-USDT,buy,0.3368,0.5,0.1684,0.0001684,taker,USDT,limit,
2022-06-19 03:00:15,62ae20bf7080070001e07af3,BICO-USDT,buy,0.4736,0.3,0.14208,0.00014208,taker,USDT,limit,
2022-06-19 03:00:03,62ae20787f527f00012bb8b2,OCEAN-USDT,buy,0.1617,1,0.1617,0.0001617,maker,USDT,limit,
2022-06-19 02:59:36,62ae20974646370001df1642,NEAR-USDT,buy,3.0222,0.1,0.30222,0.00030222,taker,USDT,limit,
2022-06-19 02:58:36,62ae20394646370001ddc6a6,DGB-USDT,buy,0.00851,12,0.10212,0.00010212,maker,USDT,limit,
2022-06-19 02:58:32,62ae2058922d7700013839e2,ATOM-USDT,buy,5.8661,0.02,0.117322,0.000117322,maker,USDT,limit,
2022-06-19 02:57:11,62ae20077707d300014b3f68,VET-USDT,buy,0.0210391,10,0.210391,0.000210391,maker,USDT,limit,
2022-06-19 02:56:38,62ae1fe5c894a10001f5cad7,SAND-USDT,buy,0.78009,1,0.78009,0.00078009,maker,USDT,limit,
2022-06-19 02:56:02,62ae1f6d7080070001dbd2ae,LINK-USDT,buy,5.7417,0.02,0.114834,0.000114834,maker,USDT,limit,
2022-06-19 02:55:55,62ae1f7b922d770001353043,EWT-USDT,buy,2.316,0.05,0.1158,0.0001158,maker,USDT,limit,
2022-06-19 02:55:49,62ae1fb5922d77000135e472,MANA-USDT,buy,0.77179,1,0.77179,0.00077179,taker,USDT,limit,
2022-06-19 02:55:35,62ae1f8b4646370001db6419,DOT-USDT,buy,6.7103,0.015,0.1006545,0.0001006545,maker,USDT,limit,
2022-06-19 02:54:02,62ae1f4a83f0bb000138d92b,THETA-USDT,buy,1.1355,0.1,0.11355,0.00011355,taker,USDT,limit,
2022-06-19 02:53:46,62ae1f3a7707d30001488be6,ETH-USDT,buy,941.79,0.00011,0.1035969,0.0001035969,taker,USDT,limit,
2022-06-18 12:52:00,62ad59f0adbafc0001422dc2,TFUEL-USDT,sell,0.05706,30,1.7118,0.0017118,taker,USDT,limit,
2022-06-15 00:36:01,62a8b8f1e62e780001b419df,RSR-USDT,buy,0.00643,235,1.51105,0.00151105,taker,USDT,limit,
2022-06-15 00:32:13,62a8b80d91e7cb0001c60752,TOMO-USDT,buy,0.44574,5,2.2287,0.0022287,taker,USDT,limit,
2022-06-14 19:42:24,62a8380163fdb500019dddf2,AVA-USDT,buy,0.526737,1.6218,0.8542620666,0.0008542620666,maker,USDT,limit,
2022-06-14 19:41:05,62a8380163fdb500019dddf2,AVA-USDT,buy,0.526737,1.3782,0.7259489334,0.0007259489334,maker,USDT,limit,
2022-06-14 18:06:07,62a83753e34ff00001874cba,EWT-USDT,buy,2.488,1.25,3.11,0.00311,maker,USDT,limit,
2022-06-14 15:26:12,62a83814e62e780001accc4b,SXP-USDT,buy,0.3617,3,1.0851,0.0010851,taker,USDT,limit,
2022-06-14 15:26:06,62a83736f6358b000173b632,ATOM-USDT,buy,6.6145,0.4,2.6458,0.0026458,maker,USDT,limit,
2022-06-14 15:23:38,62a83778ea4bd00001c0603c,DOT-USDT,buy,7.379,0.4359,3.2165061,0.0032165061,maker,USDT,limit,
2022-06-14 15:23:37,62a83778ea4bd00001c0603c,DOT-USDT,buy,7.379,0.0641,0.4729939,0.0004729939,maker,USDT,limit,
2022-06-14 15:21:52,62a8370f66488400018959e4,GALAX-USDT,buy,0.06325,10,0.6325,0.001265,taker,USDT,limit,
2022-06-14 15:21:13,62a8365160f406000197daa5,FTT-USDT,buy,23.952,0.2,4.7904,0.0047904,maker,USDT,limit,
2022-06-14 15:21:03,62a836dfcc3d5f0001439137,VET-USDT,buy,0.0242237,50,1.211185,0.001211185,taker,USDT,limit,
2022-06-14 15:20:48,62a8367691e7cb0001bccd66,BICO-USDT,buy,0.519,5,2.595,0.002595,maker,USDT,limit,
2022-06-14 15:20:47,62a836bfb050750001a7880a,MOVR-USDT,buy,15.3601,0.12,1.843212,0.003686424,maker,USDT,limit,
2022-06-14 15:20:02,62a83699b050750001a6ff4b,OCEAN-USDT,buy,0.1979,15,2.9685,0.0029685,maker,USDT,limit,
2022-06-14 15:18:01,62a83629001fb200010783d5,MATIC-USDC,buy,0.4401,2,0.8802,0.0008802,maker,USDC,limit,
2022-06-14 15:17:54,62a8361f60f4060001972db0,MATIC-USDC,buy,0.4401,5,2.2005,0.0022005,maker,USDC,limit,
2022-06-14 15:15:51,62a8359ce49b120001db48ed,GRT-USDT,buy,0.10972,20,2.1944,0.0021944,maker,USDT,limit,
2022-06-14 15:15:36,62a83580b226070001c4cfe4,NEAR-USDT,buy,3.562,1,3.562,0.003562,maker,USDT,limit,
2022-06-14 15:15:30,62a8354ecc3d5f00013deee2,TFUEL-USDT,buy,0.0437,30,1.311,0.001311,maker,USDT,limit,
2022-06-14 15:11:07,62a8348b60f406000191492e,MANA-USDT,buy,0.84339,1.5,1.265085,0.001265085,taker,USDT,limit,
2022-06-14 15:10:11,62a8345260f4060001906cee,LINK-USDT,buy,6.3187,0.2,1.26374,0.00126374,taker,USDT,limit,
2022-06-14 15:09:50,62a8343e91e7cb0001b47813,WAX-USDT,buy,0.0843,23,1.9389,0.0019389,taker,USDT,limit,
2022-06-14 15:08:12,62a833dce34ff000017a6e99,LRC-USDT,buy,0.3813,5,1.9065,0.0019065,taker,USDT,limit,
2022-06-14 14:51:29,62a82ff0001fb20001f0d86a,VET-USDT,buy,0.0247189,50,1.235945,0.001235945,maker,USDT,limit,
2022-06-14 14:51:06,62a82fdaf6358b00015905c8,BTC-USDT,buy,22614.4,0.00005,1.13072,0.00113072,taker,USDT,limit,
2022-06-14 09:36:48,62a643b2e49b1200016e7f71,FTT-USDT,buy,23,0.1,2.3,0.0023,maker,USDT,limit,
2022-06-12 18:28:12,62a5bfbcc47cf9000101539a,RSR-USDT,buy,0.00719,150,1.0785,0.0010785,taker,USDT,limit,
2022-06-12 18:26:48,62a5bf67cc3d5f00013700e8,RSR-USDT,sell,0.00716,440,3.1504,0.0031504,taker,USDT,limit,
2022-06-12 14:15:34,62a58486001fb200015b7a28,WAX-USDT,buy,0.096,10.41666666,0.99999999936,0.00099999999936,taker,USDT,market,
2022-06-12 14:15:07,62a5846bb2260700011a9a2e,MOVR-USDT,buy,16.5928,0.0602671,0.99999993688,0.00199999987376,taker,USDT,market,
2022-06-12 14:14:48,62a58458512dfa0001d9b650,GALAX-USDT,buy,0.05774,17.31901627,0.9999999994298,0.0019999999988596,taker,USDT,market,
2022-06-12 14:14:29,62a58445b050750001f7c1fc,ATOM-USDT,buy,7.085,0.14114326,0.9999999971,0.0009999999971,taker,USDT,market,
2022-06-12 14:13:54,62a58421512dfa0001d9109b,EWT-USDT,buy,2.689,0.418,1.124002,0.001124002,taker,USDT,limit,
2022-06-12 14:09:46,62a58329e49b1200012c7cdc,VET-USDT,buy,0.0262101,39,1.0221939,0.0010221939,maker,USDT,limit,
2022-06-12 14:04:46,62a581fcb226070001138a1d,THETA-USDT,buy,1.1059,0.91,1.006369,0.001006369,maker,USDT,limit,
2022-06-12 14:04:08,62a581d8e34ff00001cddaba,GRT-USDT,buy,0.11298,9,1.01682,0.00101682,maker,USDT,limit,
2022-06-12 13:55:05,62a57f8f52468b0001197f35,NEAR-USDT,buy,3.7724,0.28,1.056272,0.001056272,maker,USDT,limit,
2022-06-12 13:54:08,62a57f49e49b120001204e44,MANA-USDT,buy,0.7755,1.3,1.00815,0.00100815,maker,USDT,limit,
2022-06-12 13:53:09,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0163,0.4386493,0.0004386493,maker,USDT,limit,
2022-06-12 13:52:53,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0135,0.3632985,0.0003632985,maker,USDT,limit,
2022-06-12 13:52:21,62a57f01e49b1200011f6a2e,FTT-USDT,buy,26.911,0.0102,0.2744922,0.0002744922,maker,USDT,limit,
2022-06-12 13:51:38,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0487,0.37121575,0.00037121575,maker,USDT,limit,
2022-06-12 13:51:36,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0346,0.2637385,0.0002637385,maker,USDT,limit,
2022-06-12 13:51:33,62a57eceb22607000108f37b,DOT-USDT,buy,7.6225,0.0487,0.37121575,0.00037121575,maker,USDT,limit,
2022-05-12 15:52:08,627cbc8e57014a0001703265,USDC-USDT,buy,1.03474,8.7354,9.038867796,0.009038867796,maker,USDT,limit,
2022-05-12 03:05:30,627be6d4e8fb91000178b037,BICO-USDT,buy,0.5,4,2,0.002,maker,USDT,limit,
2022-05-12 00:44:01,627be7948333ac00016ee822,AVA-USDT,buy,0.6888,2.9,1.99752,0.00199752,maker,USDT,limit,
2022-05-12 00:43:56,627be7c892bb2600018f7b9d,VIDT-USDT,buy,0.1776,4.6763,0.83051088,0.00083051088,maker,USDT,limit,
2022-05-12 00:43:56,627be7c892bb2600018f7b9d,VIDT-USDT,buy,0.1776,6.6237,1.17636912,0.00117636912,maker,USDT,limit,
2022-05-12 00:42:20,627be73a8333ac00016c5f38,UTK-BTC,buy,0.00000401,17.4389,0.000069929989,0.000000069929989,maker,BTC,limit,
2022-05-12 00:41:03,627be7125a093000017841da,BTC-USDT,buy,30719.9,0.00007,2.150393,0.002150393,maker,USDT,limit,
2022-05-12 00:38:25,627be68057014a000117fcc9,CTSI-USDT,buy,0.184,11,2.024,0.002024,taker,USDT,limit,
2022-05-12 00:37:49,627be65d64e18b0001124454,RSR-USDT,buy,0.00488,440,2.1472,0.0021472,taker,USDT,limit,
2022-05-12 00:37:01,627be62c7052850001a66cb7,MOVR-USDT,buy,23.4962,0.0856,2.01127472,0.00402254944,maker,USDT,limit,
2022-05-12 00:36:28,627be5f27052850001a4beaa,BLOK-USDT,buy,0.006621,300,1.9863,0.0039726,maker,USDT,limit,
2022-05-12 00:14:36,627be0ec6109da000167b5b6,DOT-USDT,buy,9.675,0.5,4.8375,0.0048375,maker,USDT,limit,
2022-04-13 20:05:36,6256bc8fef305f00018e970b,SOL-USDT,sell,101.254,0.065,6.58151,0.00658151,taker,USDT,market,
2022-04-11 09:06:53,623df1f79555e00001a91a29,KDA-USDT,buy,6,0.2,1.2,0.0024,maker,USDT,limit,
2022-04-01 02:47:52,6245f74efce0ff0001e667ba,XLM-USDT,buy,0.233517,40,9.34068,0.00934068,maker,USDT,limit,
2022-04-01 02:45:17,6245f6bdea2b3a0001f89242,XLM-USDT,buy,0.233667,10,2.33667,0.00233667,taker,USDT,limit,
2022-03-28 04:14:22,6240c5969555e00001ba44ee,XRP-USDT,buy,0.84116,0.7,0.588812,0.000588812,maker,USDT,limit,
2022-03-28 04:13:47,6240c57a15b417000108f29d,1INCH-USDT,buy,1.715,2,3.43,0.00343,taker,USDT,limit,
2022-03-28 04:13:37,6240c571a0974800010dba06,1INCH-USDT,buy,1.716,0.35,0.6006,0.0006006,taker,USDT,limit,
2022-03-28 04:11:33,6240c4f558d97b00019ab819,XVS-USDT,buy,10.641,0.141,1.500381,0.001500381,taker,USDT,limit,
2022-03-28 04:10:56,6240c4d0958ade0001bd5ee8,OCEAN-USDT,buy,0.5993,4,2.3972,0.0023972,taker,USDT,limit,
2022-03-28 04:09:00,6240c425958ade0001bb55fc,ETH-USDT,buy,3175.89,0.0006417,2.037968613,0.002037968613,maker,USDT,limit,
2022-03-28 04:08:59,6240c425958ade0001bb55fc,ETH-USDT,buy,3175.89,0.0002583,0.820332387,0.000820332387,maker,USDT,limit,
2022-03-28 04:03:10,6240c2fda09748000106460b,MATIC-USDT,buy,1.6539,2.8,4.63092,0.00463092,maker,USDT,limit,
2022-03-27 11:22:46,623fd886b29df80001e8e2f7,ZIL-USDT,sell,0.0857,38,3.2566,0.0032566,taker,USDT,limit,
2022-03-27 02:27:57,623f5b2b87b4cb0001ed96b0,ZIL-USDT,sell,0.0641,7.2,0.46152,0.00046152,maker,USDT,limit,
2022-03-27 02:27:57,623f5b2b87b4cb0001ed96b0,ZIL-USDT,sell,0.0641,64.8,4.15368,0.00415368,maker,USDT,limit,
2022-03-25 14:21:48,62052af9b6f1100001341ff2,CWEB-USDT,sell,0.0425,141.7233,6.02324025,0.0120464805,maker,USDT,limit,
